Datetime,Temp Interna,Temp Ambiente,Temp Referencia,Acionamento Atuadores % (Resistor/Ventoinha)
15-06-2023 17:58:41,27.5,22.97,50.0,100
15-06-2023 17:58:43,50.69,22.96,50.0,-100
15-06-2023 17:58:44,50.69,22.96,50.0,-40
15-06-2023 17:58:45,50.69,22.96,50.0,-40
15-06-2023 17:58:47,50.69,22.96,50.0,-40
15-06-2023 17:58:48,50.62,22.96,50.0,13
15-06-2023 17:58:50,50.62,22.97,50.0,-40
15-06-2023 17:58:51,50.62,22.97,50.0,-40
15-06-2023 17:58:53,50.62,22.97,50.0,-40
15-06-2023 17:58:54,50.62,22.97,50.0,-40
15-06-2023 17:58:56,50.56,22.97,50.0,10
15-06-2023 17:58:57,50.56,22.96,50.0,-40
15-06-2023 17:58:58,50.56,22.96,50.0,-40
15-06-2023 17:59:00,50.56,22.95,50.0,-40
15-06-2023 17:59:01,50.56,22.94,50.0,-40
15-06-2023 17:59:03,50.5,22.92,50.0,11
15-06-2023 17:59:04,50.5,22.89,50.0,-40
15-06-2023 17:59:06,50.5,22.88,50.0,-40
15-06-2023 17:59:07,50.5,22.86,50.0,-40
15-06-2023 17:59:09,50.44,22.85,50.0,13
15-06-2023 17:59:10,50.44,22.84,50.0,-40
15-06-2023 17:59:11,50.44,22.84,50.0,-40
15-06-2023 17:59:13,50.38,22.81,50.0,14
15-06-2023 17:59:14,50.38,22.8,50.0,-40
15-06-2023 17:59:16,50.31,22.79,50.0,20
15-06-2023 17:59:17,50.31,22.79,50.0,-40
15-06-2023 17:59:19,50.31,22.79,50.0,-40
15-06-2023 17:59:20,50.31,22.8,50.0,-40
15-06-2023 17:59:22,50.25,22.8,50.0,18
15-06-2023 17:59:23,50.25,22.8,50.0,-40
15-06-2023 17:59:24,50.25,22.81,50.0,-40
15-06-2023 17:59:26,50.25,22.81,50.0,-40
15-06-2023 17:59:27,50.19,22.82,50.0,19
15-06-2023 17:59:29,50.19,22.82,50.0,-40
15-06-2023 17:59:30,50.19,22.82,50.0,-40
15-06-2023 17:59:32,50.12,22.84,50.0,25
15-06-2023 17:59:33,50.12,22.85,50.0,-40
15-06-2023 17:59:35,50.06,22.85,50.0,23
15-06-2023 17:59:36,50.06,22.85,50.0,-40
15-06-2023 17:59:37,50.06,22.85,50.0,-40
15-06-2023 17:59:39,50.06,22.85,50.0,-40
15-06-2023 17:59:40,50.0,22.85,50.0,25
15-06-2023 17:59:42,50.0,22.84,50.0,1
15-06-2023 17:59:43,49.94,22.84,50.0,27
15-06-2023 17:59:45,49.94,22.83,50.0,3
15-06-2023 17:59:46,49.88,22.81,50.0,28
15-06-2023 17:59:48,49.88,22.8,50.0,4
15-06-2023 17:59:49,49.81,22.79,50.0,35
15-06-2023 17:59:51,49.81,22.79,50.0,7
15-06-2023 17:59:52,49.81,22.79,50.0,7
15-06-2023 17:59:53,49.81,22.79,50.0,7
15-06-2023 17:59:55,49.75,22.8,50.0,33
15-06-2023 17:59:56,49.75,22.8,50.0,9
15-06-2023 17:59:58,49.69,22.8,50.0,34
15-06-2023 17:59:59,49.62,22.8,50.0,41
15-06-2023 18:00:01,49.62,22.8,50.0,13
15-06-2023 18:00:02,49.62,22.79,50.0,13
15-06-2023 18:00:03,49.56,22.79,50.0,39
15-06-2023 18:00:05,49.56,22.79,50.0,15
15-06-2023 18:00:06,49.5,22.79,50.0,41
15-06-2023 18:00:08,49.5,22.78,50.0,17